labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
74.0,06,Jönköping,2017-01-01,357237,76403,21.3872023334649,83.82776990371927
72.5,07,Kronoberg,2017-01-01,197519,45558,23.065122848941115,78.6558951554327
71.3,08,Kalmar,2017-01-01,243536,51153,21.00428684054924,79.45674628385343
70.5,09,Gotland,2017-01-01,58595,12909,22.030890007679837,62.10904148734122
70.6,10,Blekinge,2017-01-01,159371,37250,23.37313563948272,83.35135965389465
73.2,12,Skåne,2017-01-01,1344689,365578,27.186806763496985,90.29500002684817
72.2,13,Halland,2017-01-01,324825,78416,24.14099899946125,84.2434812442818
74.89999999999999,14,Västra Götaland,2017-01-01,1690782,452054,26.736385885347723,86.1841155541214
69.2,17,Värmland,2017-01-01,280399,61741,22.018980096220027,75.70821735096266
71.7,18,Örebro,2017-01-01,298907,68293,22.847574663691383,83.91750168377936
70.5,19,Västmanland,2017-01-01,271095,60995,22.499492797727733,88.2615144772889
68.7,20,Dalarna,2017-01-01,286165,57211,19.992312127618682,82.53056634926057
70.5,21,Gävleborg,2017-01-01,285637,55967,19.593750109404596,80.21680889945532
71.10000000000001,22,Västernorrland,2017-01-01,245968,53056,21.570285565602028,79.21581651270824
74.30000000000001,23,Jämtland,2017-01-01,129806,28921,22.28017194890837,71.18766486622283
74.5,24,Västerbotten,2017-01-01,268465,74306,27.678095841171103,79.34717402364663
72.3,25,Norrbotten,2017-01-01,251295,56465,22.4696074334945,82.63945894215021
79.2,01,Stockholm,2017-04-01,2308143,764202,33.1089538213187,96.80103287609475
75.5,03,Uppsala,2017-04-01,368971,113001,30.625984155936376,81.5441433911973
74.1,04,Södermanland,2017-04-01,291341,59280,20.34729063193989,84.38557410331605
73.60000000000001,05,Östergötland,2017-04-01,457496,117474,25.67760155280046,85.40594757001398
76.6,06,Jönköping,2017-04-01,357237,76403,21.3872023334649,83.82776990371927
73.4,07,Kronoberg,2017-04-01,197519,45558,23.065122848941115,78.6558951554327
74.3,08,Kalmar,2017-04-01,243536,51153,21.00428684054924,79.45674628385343
74.5,09,Gotland,2017-04-01,58595,12909,22.030890007679837,62.10904148734122
70.1,10,Blekinge,2017-04-01,159371,37250,23.37313563948272,83.35135965389465
74.8,12,Skåne,2017-04-01,1344689,365578,27.186806763496985,90.29500002684817
74.9,13,Halland,2017-04-01,324825,78416,24.14099899946125,84.2434812442818
75.60000000000001,14,Västra Götaland,2017-04-01,1690782,452054,26.736385885347723,86.1841155541214
71.6,17,Värmland,2017-04-01,280399,61741,22.018980096220027,75.70821735096266
73.8,18,Örebro,2017-04-01,298907,68293,22.847574663691383,83.91750168377936
71.0,19,Västmanland,2017-04-01,271095,60995,22.499492797727733,88.2615144772889
72.3,20,Dalarna,2017-04-01,286165,57211,19.992312127618682,82.53056634926057
72.8,21,Gävleborg,2017-04-01,285637,55967,19.593750109404596,80.21680889945532
72.80000000000001,22,Västernorrland,2017-04-01,245968,53056,21.570285565602028,79.21581651270824
75.10000000000001,23,Jämtland,2017-04-01,129806,28921,22.28017194890837,71.18766486622283
74.60000000000001,24,Västerbotten,2017-04-01,268465,74306,27.678095841171103,79.34717402364663
72.19999999999999,25,Norrbotten,2017-04-01,251295,56465,22.4696074334945,82.63945894215021
